legacy_path,recommended_status,target_path,reason,notes
/wiki/pricing/economics-and-metrics/price-waterfall,410,,unpublished placeholder concept,soft-404 candidate from historical route generation
/wiki/pricing/economics-and-metrics/realized-price-index,410,,unpublished placeholder concept,soft-404 candidate from historical route generation
/wiki/pricing/governance-and-process/behavioral-psychological-pricing,410,,unpublished placeholder concept,soft-404 candidate from historical route generation
/wiki/pricing/governance-and-process/cpq-rules,410,,unpublished placeholder concept,soft-404 candidate from historical route generation
/wiki/pricing/governance-and-process/global-pricing-billing-ops,410,,unpublished placeholder concept,soft-404 candidate from historical route generation
/wiki/pricing/governance-and-process/price-architecture,410,,unpublished placeholder concept,soft-404 candidate from historical route generation
/wiki/pricing/governance-and-process/pricing-calendar,410,,unpublished placeholder concept,soft-404 candidate from historical route generation
/wiki/pricing/governance-and-process/pricing-governance,410,,unpublished placeholder concept,soft-404 candidate from historical route generation
/wiki/pricing/governance-and-process/pricing-strategy-document,410,,unpublished placeholder concept,soft-404 candidate from historical route generation
/wiki/pricing/governance-and-process/raci-discounting,410,,unpublished placeholder concept,soft-404 candidate from historical route generation
/wiki/pricing/governance-and-process/raising-prices,410,,unpublished placeholder concept,soft-404 candidate from historical route generation
/wiki/pricing/research-and-experiments/ab-testing,410,,unpublished placeholder concept,soft-404 candidate from historical route generation
/wiki/pricing/research-and-experiments/churn-interviews,410,,unpublished placeholder concept,soft-404 candidate from historical route generation
/wiki/pricing/research-and-experiments/conjoint-analysis,410,,unpublished placeholder concept,soft-404 candidate from historical route generation
/wiki/pricing/research-and-experiments/discovery-sprint,410,,unpublished placeholder concept,soft-404 candidate from historical route generation
/wiki/pricing/research-and-experiments/gabor-granger,410,,unpublished placeholder concept,soft-404 candidate from historical route generation
/wiki/pricing/research-and-experiments/in-product-experiments,410,,unpublished placeholder concept,soft-404 candidate from historical route generation
/wiki/pricing/research-and-experiments/maxdiff,410,,unpublished placeholder concept,soft-404 candidate from historical route generation
/wiki/pricing/research-and-experiments/price-elasticity,410,,unpublished placeholder concept,soft-404 candidate from historical route generation
/wiki/pricing/research-and-experiments/van-westendorp,410,,unpublished placeholder concept,soft-404 candidate from historical route generation
/wiki/pricing/research-and-experiments/win-loss-interviews,410,,unpublished placeholder concept,soft-404 candidate from historical route generation
/consulting/services/rapid-pricing-experiment-toolkit,301,/consulting/services/pricing-monetization-sprint,service page consolidated,legacy consulting slug replaced by pricing sprint
/consulting/services/investor-monetization-pitch-kit,301,/consulting/services/pricing-monetization-sprint,service page consolidated,legacy consulting slug replaced by pricing sprint
/consulting/services/profitability-simulator,301,/consulting/services/on-call-economist-retainer,service page consolidated,legacy consulting slug replaced by retainer
/consulting/services/investor-updates-automation-kit,301,/consulting/services/on-call-economist-retainer,service page consolidated,legacy consulting slug replaced by retainer
/consulting/services/investor-deck-accelerator,301,/consulting/services/on-call-economist-retainer,service page consolidated,legacy consulting slug replaced by retainer
/consulting/services/customer-value-research-pack,301,/consulting/services/pricing-monetization-sprint,service page consolidated,legacy consulting slug replaced by pricing sprint
/consulting/services/value-based-monetization-design,301,/consulting/services/pricing-monetization-sprint,service page consolidated,legacy consulting slug replaced by pricing sprint
/consulting/services/runway-scenario-model,301,/consulting/services/on-call-economist-retainer,service page consolidated,legacy consulting slug replaced by retainer
/consulting/services/competitive-benchmark-insights,301,/consulting/services/metrics-experimentation-sprint,service page consolidated,legacy consulting slug replaced by metrics sprint
/consulting/services/pricing-diagnostic-revenue-boost,301,/consulting/services/pricing-monetization-sprint,service page consolidated,legacy consulting slug replaced by pricing sprint
